date,AK,AL,AR,AS,AZ,CA,CO,CT,DC,DE,FL,GA,GU,HI,IA,ID,IL,IN,KS,KY,LA,MA,MD,ME,MI,MN,MO,MP,MS,MT,NC,ND,NE,NH,NJ,NM,NV,NY,OH,OK,OR,PA,PR,RI,SC,SD,TX,UT,VA,VI,VT,WA,WI,WV,WY
5-Mar-20,0,0,0,0,2,53,0,0,0,0,9,2,0,0,0,0,5,0,0,0,0,0,0,0,72,0,0,0,0,0,1,0,0,2,1,0,1,22,0,1,3,2,0,3,0,0,1,1,0,0,0,731,1,0,0
6-Mar-20,0,0,0,0,3,60,2,1,0,0,9,2,0,0,0,0,5,1,0,0,0,0,3,0,98,1,0,0,0,0,2,0,0,2,1,0,1,33,0,1,3,2,2,3,0,0,5,1,0,0,0,813,1,0,0
7-Mar-20,0,0,0,0,5,69,8,1,0,0,14,6,0,1,0,0,6,1,0,1,0,0,3,0,128,2,0,0,0,0,2,0,1,2,4,0,1,76,0,1,7,4,3,3,2,0,8,1,0,0,1,912,1,0,0
8-Mar-20,0,0,0,0,5,88,8,2,1,0,17,7,0,1,0,0,6,2,1,1,0,0,3,0,168,2,1,0,0,0,2,0,1,4,6,0,1,105,0,1,14,6,3,3,2,0,8,1,2,0,1,1065,1,0,0
9-Mar-20,0,0,0,0,5,114,9,3,1,0,18,12,0,2,3,0,7,2,1,4,1,0,5,0,254,5,1,0,0,0,2,0,3,4,11,0,1,142,3,1,14,10,3,4,7,0,12,1,3,0,1,1237,1,0,0
10-Mar-20,0,0,0,0,6,133,12,6,5,0,19,17,0,2,8,0,19,6,1,6,1,0,6,0,358,11,1,0,0,0,7,0,3,4,15,0,1,173,3,2,15,12,4,5,7,0,13,2,8,0,1,1453,2,0,0
11-Mar-20,0,1,6,0,9,157,28,6,5,1,28,22,0,2,13,0,19,10,1,8,6,0,9,0,497,21,1,0,0,0,7,0,5,4,24,3,5,216,4,2,19,16,4,5,9,5,21,2,9,0,2,1665,3,0,0
12-Mar-20,1,6,9,0,9,202,45,11,10,4,32,31,0,2,14,0,25,12,4,8,14,8,12,1,702,43,1,0,1,1,12,1,10,6,30,5,7,216,5,3,19,22,4,13,10,8,23,4,17,0,2,1921,9,0,1
13-Mar-20,1,12,12,0,9,202,72,20,10,4,50,42,0,2,16,0,32,12,6,11,36,23,17,3,945,62,2,0,4,1,15,1,13,6,50,10,11,421,13,3,30,41,5,19,12,9,39,6,30,0,5,2218,23,0,1
14-Mar-20,1,28,16,0,12,252,101,26,10,6,77,66,0,2,17,2,46,15,6,14,51,38,26,3,1196,90,4,0,6,5,23,1,14,7,50,10,20,524,13,4,30,47,5,19,13,9,51,6,30,1,8,2484,23,0,2
15-Mar-20,1,36,22,0,12,293,131,41,16,6,116,99,0,2,18,5,64,19,8,16,90,64,31,3,1480,128,5,0,10,7,32,1,17,13,98,13,21,729,36,9,36,63,5,20,19,9,56,28,45,1,12,2738,37,0,3
16-Mar-20,3,46,22,0,18,335,131,68,17,8,141,121,3,7,22,5,93,24,11,21,115,97,37,17,1933,179,6,0,12,7,33,1,18,13,178,17,45,950,50,10,39,76,5,22,28,10,57,39,51,1,17,3107,56,0,3
17-Mar-20,6,68,33,0,20,483,160,96,22,16,186,146,5,10,23,7,159,30,15,22,137,118,57,32,3659,246,8,0,21,8,40,3,21,17,267,23,55,1700,67,17,47,96,5,33,33,11,64,51,67,2,19,3432,83,0,10
18-Mar-20,6,81,46,0,28,611,183,194,31,25,314,197,8,14,29,9,288,39,16,26,240,156,85,43,4531,269,13,0,34,10,63,6,24,26,427,28,55,2382,88,29,75,133,5,44,60,11,83,63,77,2,21,3810,121,1,15
19-Mar-20,12,124,96,0,44,924,216,194,39,30,390,287,12,16,38,11,422,56,34,35,347,229,107,53,5276,287,24,0,50,12,97,15,27,39,742,35,95,4152,119,44,88,185,5,61,60,11,143,78,94,3,28,4146,174,2,18
20-Mar-20,14,138,118,0,65,1063,277,223,71,38,520,420,14,26,45,23,585,79,44,47,473,314,149,57,6219,303,47,0,80,16,137,20,32,44,890,43,109,7102,169,49,114,268,14,74,81,14,194,112,114,3,44,4551,235,7,19
21-Mar-20,22,167,165,0,104,1279,363,415,77,45,658,507,15,37,68,31,753,126,55,54,580,426,190,73,7023,327,73,0,140,20,184,28,38,55,1327,57,124,10356,247,53,114,371,21,88,152,14,304,136,152,6,52,4837,315,11,23
22-Mar-20,22,215,174,0,152,1536,475,618,98,56,830,600,27,48,90,42,1049,201,64,99,837,547,244,89,7822,349,90,0,207,31,255,28,48,65,1914,57,190,15168,351,67,161,479,23,113,195,21,334,181,219,6,76,5121,425,12,24
23-Mar-20,36,283,218,0,265,1733,591,875,116,68,1171,772,29,56,105,47,1273,259,82,104,1172,678,288,107,9062,393,183,0,249,34,297,30,50,78,2844,65,245,20875,442,81,191,644,31,129,298,28,352,257,254,17,97,5568,466,16,26
24-Mar-20,42,506,280,0,357,2102,720,1012,137,91,1412,1026,32,77,124,50,1535,365,98,124,1388,1060,349,125,10155,444,183,0,320,46,398,34,52,101,3675,83,278,25665,564,106,209,851,39,148,298,30,410,299,290,17,125,5923,525,20,29
25-Mar-20,59,587,335,0,450,2355,912,1291,183,115,1682,1247,37,90,145,73,1865,477,126,157,1795,1739,423,149,11335,502,356,0,377,53,504,39,61,108,4402,100,321,30811,704,164,209,1127,51,176,424,41,974,346,391,17,160,6329,667,39,44
26-Mar-20,69,696,381,0,577,3006,1086,1291,231,130,2355,1525,45,95,179,123,2538,645,168,198,2305,2318,580,155,12475,565,502,0,485,71,636,52,73,137,6876,112,420,37258,867,248,327,1687,64,217,456,46,1396,402,460,17,185,6700,806,51,53
27-Mar-20,85,806,404,0,736,3879,1430,1993,267,163,2765,2001,51,106,235,189,3026,981,202,248,2746,3151,774,168,13799,640,669,0,579,108,763,65,85,158,8825,136,535,44635,1137,322,414,2218,79,248,456,58,1731,480,604,19,213,7076,969,76,70
28-Mar-20,102,859,426,0,873,4643,1734,2571,304,214,3763,2366,55,120,298,230,3491,1232,261,302,3315,4158,992,211,14865,687,838,2,663,129,935,83,96,187,11124,191,621,52318,1406,377,479,2751,100,312,539,68,2052,602,739,22,234,7397,1134,96,82
29-Mar-20,114,981,473,0,919,5708,2061,3128,342,232,4246,2651,56,151,336,261,4596,1514,319,394,3540,4856,1239,253,15784,725,838,2,758,154,1040,98,108,214,13386,237,738,59513,1653,429,548,3394,127,417,774,90,2552,719,890,23,256,7715,1276,113,86
30-Mar-20,119,1077,523,0,1157,6447,2627,3557,401,264,5473,2809,58,175,424,310,5057,1786,368,439,4025,5653,1413,275,17363,823,1031,2,847,171,1307,109,145,314,16636,237,1008,66497,1933,481,606,4087,174,495,925,101,2877,806,1020,30,293,8120,1422,126,94
31-Mar-20,133,1233,584,0,1289,7482,2627,3824,495,319,6338,3929,69,204,497,415,5994,2159,428,480,5237,6521,1660,303,18654,916,1327,2,937,184,1498,126,172,314,18696,281,1113,75795,2199,565,690,4843,239,568,1083,108,3266,887,1250,30,320,8431,1585,162,109
1-Apr-20,143,1432,643,0,1413,8155,2966,4914,586,368,6955,4638,77,208,549,525,6980,2565,482,591,6424,7639,1985,344,20246,973,1581,6,1073,208,1584,142,210,415,22255,315,1279,83712,2547,719,736,5805,286,668,1293,129,3997,1012,1484,30,359,8869,1821,191,130
2-Apr-20,157,1580,704,0,1598,9191,3342,5276,653,393,8010,5348,82,258,614,669,7695,3039,552,680,9150,8867,2331,376,21376,1056,1834,8,1177,227,1857,159,246,415,25590,363,1458,92381,2902,879,826,7016,316,730,1554,165,4669,1074,1706,33,390,9201,2040,217,150
3-Apr-20,171,1796,743,0,1769,10701,3728,5675,757,450,9585,5831,84,285,699,891,8904,3437,620,770,10297,10303,2758,432,22579,1119,2113,8,1358,243,2093,173,279,479,29895,403,1514,102863,3312,988,899,8420,378,831,1554,187,5330,1246,2012,38,460,9485,2263,237,162
4-Apr-20,185,1968,830,0,2019,12026,4173,6906,902,593,11111,6160,93,319,786,1013,10357,3953,698,831,12496,11637,3125,456,23581,1158,2291,8,1455,265,2402,186,321,540,34124,495,1742,113704,3739,1159,999,10017,452,968,1917,212,6110,1428,2407,40,512,9732,2476,282,187
5-Apr-20,191,2119,875,0,2269,13438,4565,7781,998,673,12151,6647,112,351,868,1077,11256,4411,747,917,13010,12402,3609,470,24458,1217,2367,8,1638,286,2585,207,363,621,37505,543,1836,122031,4043,1252,1068,11510,475,1150,2049,240,6812,1605,2637,42,543,9953,2643,324,197
6-Apr-20,213,2369,946,0,2456,14336,4950,7781,1097,673,13324,7314,113,371,946,1101,12262,4944,845,955,14867,13739,4045,499,25785,1330,2722,8,1738,299,2870,225,409,669,41090,624,1953,130689,4450,1327,1132,12980,513,1356,2049,288,7276,1675,2878,43,575,10282,2866,345,210
7-Apr-20,226,2769,1000,0,2575,15865,5172,9784,1211,928,14747,8818,121,387,1048,1170,13549,5507,900,1008,16284,15104,4371,519,26964,1432,3037,8,1915,319,3221,237,447,715,44416,686,2087,138863,4782,1472,1181,14559,573,1617,2417,320,8262,1738,3333,43,608,10547,3064,412,216
8-Apr-20,235,2968,1119,0,2726,16957,5429,10538,1440,928,15455,9901,125,410,1145,1210,15078,5943,1046,1149,17030,16692,5529,537,28064,1534,3327,11,2003,332,3426,251,519,788,47437,794,2318,149316,5148,1524,1239,16239,620,1890,2552,393,9353,1846,3645,45,631,10831,3279,462,221
9-Apr-20,246,3191,1171,0,3018,18309,5655,11510,1523,1207,16364,10566,128,435,1270,1232,16422,6351,1106,1346,18283,18843,6185,560,29096,1637,3539,11,2260,354,3651,269,567,788,51027,865,2456,159937,5512,1684,1321,18228,683,2169,2792,447,10230,1976,4042,46,680,11118,3443,523,230
10-Apr-20,257,3525,1226,0,3112,19472,6510,12035,1660,1326,17531,11483,130,442,1388,1353,17887,6907,1166,1693,19253,20878,6968,586,30172,1732,3799,11,2469,365,3908,278,635,819,54588,1091,2584,170512,5878,1794,1321,19979,725,2573,3065,536,11671,2102,4509,50,713,11395,3665,554,253
11-Apr-20,272,3734,1280,0,3393,20615,6510,13381,1778,1479,18494,12159,133,465,1510,1396,19180,7435,1268,1693,20014,22766,7694,616,30980,1806,4024,11,2642,377,4312,293,700,885,58151,1091,2700,180458,6250,1868,1371,21655,788,2853,3207,626,12561,2206,5077,51,733,11605,3822,577,261
12-Apr-20,277,3876,1410,0,3539,21794,6893,13989,1875,1479,19355,12452,133,486,1587,1407,20852,7928,1337,1840,20595,25381,8225,633,31666,1864,4160,11,2781,387,4520,308,791,929,61850,1174,2836,188694,6604,1970,1527,22833,897,3142,3319,730,13484,2303,5274,51,754,11775,3964,611,261
13-Apr-20,285,4113,1480,0,3702,22348,7684,14755,1955,1625,20601,13315,133,499,1710,1426,22025,8236,1376,1963,21016,26794,8936,698,32702,2012,4388,11,2942,394,4816,331,814,985,64584,1245,2971,195031,6975,2069,1584,24199,903,3329,3319,868,13906,2363,5747,51,761,12079,4080,626,275
14-Apr-20,293,4345,1569,0,3806,23338,7691,15884,2058,1761,21367,14223,133,504,1899,1453,23247,8527,1426,2048,21518,28109,9472,734,33613,2165,4686,13,3087,399,5024,341,871,1020,68824,1345,3088,202208,7280,2184,1633,25345,923,3596,3553,988,14624,2412,6171,51,770,12303,4246,640,275
15-Apr-20,300,4530,1620,0,3962,24424,7941,16809,2197,2014,22511,14987,133,517,1995,1464,24593,8955,1494,2210,21951,29970,10032,770,34533,2321,4895,13,3360,404,5123,365,901,1139,71030,1407,3211,213779,7791,2263,1663,26490,974,3903,3656,1168,15492,2542,6500,51,779,12619,4453,702,287
16-Apr-20,309,4655,1695,0,4234,26182,8280,16809,2350,2075,22897,15669,133,530,2141,1587,25733,9542,1588,2291,22532,32492,10784,796,35455,2486,5111,13,3624,415,5465,393,952,1139,75317,1484,3321,222284,8414,2357,1736,27735,1043,4295,3656,1311,16455,2683,6889,51,792,12872,4636,739,296
17-Apr-20,314,4837,1739,0,4507,27528,8675,17550,2476,2323,24119,17194,133,541,2332,1609,27575,10154,1705,2429,23118,35125,11572,827,36320,2668,5283,13,3793,422,5859,439,1066,1287,78467,1597,3524,229642,9107,2465,1785,29441,1068,4585,3931,1411,17371,2805,7491,51,802,13174,4839,754,296
18-Apr-20,319,5025,1781,0,4719,28963,9047,19815,2666,2323,25269,17669,133,553,2513,1655,29160,10641,1790,2522,23580,37527,12308,847,37029,2788,5517,14,3974,426,6140,528,1138,1287,81420,1711,3626,236732,10222,2570,1844,31069,1118,4868,4246,1542,18260,2931,8053,53,813,13407,5013,785,305
19-Apr-20,321,5231,1923,0,4929,30333,9433,20360,2793,2538,25996,18301,133,574,2902,1668,30357,11210,1849,2707,23928,39820,12830,867,37557,2914,5667,14,4274,433,6493,585,1287,1342,85301,1798,3728,242786,11602,2599,1910,32284,1213,5207,4377,1635,18923,3069,8537,53,817,13583,5176,863,309
20-Apr-20,329,5465,2227,0,5064,30978,9730,22469,2927,2745,26660,18947,133,580,3159,1672,31508,11686,1986,2960,24523,41416,13684,875,38494,3190,5807,14,4512,433,6764,627,1474,1392,88806,1845,3830,247512,12919,2680,1956,33232,1252,5585,4377,1685,19458,3213,8990,53,820,13890,5353,902,313
21-Apr-20,335,5778,2276,0,5251,33261,10106,23100,3098,2931,27495,19881,133,584,3641,1736,33059,12097,2025,3050,24854,43168,14193,888,39589,3452,5941,14,4716,437,6951,644,1648,1491,92387,1971,3937,251690,13725,2807,2002,34528,1298,5972,4439,1755,20196,3296,9630,54,828,14133,5509,914,320
22-Apr-20,337,5832,2465,0,5459,35396,10447,23921,3206,3200,28309,20740,134,586,3748,1766,35108,12438,2211,3192,25258,44913,14775,907,40705,3758,6137,14,4894,439,7220,679,1722,1491,95865,2072,4081,257216,14117,2894,2059,35684,915,6354,4761,1858,21069,3445,10266,54,831,14375,5766,939,322
23-Apr-20,339,6137,2741,0,5769,37369,10878,24582,3361,3308,28832,21512,135,592,3924,1802,36934,13039,2482,3373,25739,47992,15737,937,41694,4270,6321,14,5153,442,7608,709,1813,1588,99989,2210,4208,263460,14694,3017,2127,37053,915,6773,4917,1956,21944,3612,10998,54,834,14628,6011,967,326
24-Apr-20,339,6270,2829,0,6045,39254,11262,25269,3528,3442,30174,22147,141,596,4445,1836,39658,13680,2777,3481,26140,50969,16616,965,42730,4788,6625,14,5434,444,8052,748,2124,1670,102196,2379,4398,271590,15169,3121,2177,38652,1276,7188,4917,2040,22806,3782,11594,54,843,14913,6364,988,349
25-Apr-20,341,6499,2941,0,6280,41137,12256,25269,3699,3576,30839,22695,141,601,5092,1870,41777,14395,3056,3779,26512,53348,17766,990,43263,5127,6826,14,5718,445,8623,803,2421,1720,105523,2521,4539,282143,15587,3193,2253,40049,1307,7493,5253,2147,23773,3948,12366,55,852,15110,6715,1020,349
26-Apr-20,345,6687,3017,0,6526,42164,12968,26312,3841,4034,31528,23401,141,603,5476,1887,43903,15012,3174,3905,26773,54938,18581,1015,43789,5512,6997,14,5911,448,8830,867,2732,1787,109038,2660,4602,288045,15963,3253,2311,41165,1371,7769,5490,2212,24631,4123,12970,57,855,15292,6963,1044,362
27-Apr-20,351,6842,3111,0,6716,43464,13441,26767,3892,4162,32138,23913,144,606,5868,1897,45883,15961,3328,4074,27068,56462,19487,1023,44709,6187,7171,14,6094,449,9142,942,3028,1864,111188,2726,4690,291996,16325,3280,2354,42050,1389,7972,5490,2245,25297,4233,13535,59,862,15566,7161,1063,370
28-Apr-20,355,7019,3192,0,6948,45031,13879,27700,3994,4575,32846,24615,145,607,6376,1917,48102,16588,3491,4146,27286,58302,20113,1040,45538,6788,7303,14,6342,451,9568,991,3358,1938,113856,2823,4805,295106,16769,3410,2354,43264,1400,8296,5613,2313,26171,4343,14339,59,862,15798,7391,1079,389
29-Apr-20,355,7158,3255,0,7202,46500,14735,28764,4106,4655,33193,25623,145,609,6843,1952,50355,17182,3738,4375,27660,60265,20849,1056,46488,7468,7425,14,6569,451,9948,1033,3374,2010,116264,2974,4898,299691,17303,3473,2446,44366,1433,8668,5881,2373,27054,4495,14961,62,866,16042,7660,1095,536
30-Apr-20,364,7434,3321,0,7648,48917,14758,28764,4323,4734,33690,26155,146,613,7145,1984,52918,17835,4238,4539,28001,62205,21742,1095,47505,8116,7562,14,6815,453,10509,1067,3784,2054,118652,3213,4998,304372,18027,3618,2510,45763,1539,9016,6095,2449,28087,4672,15846,66,879,16309,8052,1118,544
